author,title,rating,description,source,buy_link
Robert   Harris,Fatherland,3.96,Book by Robert   Harris,goodbooks,https://www.amazon.in/s?k=Fatherland
Daniel Suarez,"Freedom™ (Daemon, #2)",4.27,Book by Daniel Suarez,goodbooks,"https://www.amazon.in/s?k=Freedom™+(Daemon,+#2)"
Thornton Wilder,The Bridge of San Luis Rey,3.8,Book by Thornton Wilder,goodbooks,https://www.amazon.in/s?k=The+Bridge+of+San+Luis+Rey
Fyodor Dostoyevsky,White Nights,4.05,Book by Fyodor Dostoyevsky,goodbooks,https://www.amazon.in/s?k=White+Nights
Laurell K. Hamilton,"Skin Trade (Anita Blake, Vampire Hunter #17)",3.9,Book by Laurell K. Hamilton,goodbooks,"https://www.amazon.in/s?k=Skin+Trade+(Anita+Blake,+Vampire+Hunter+#17)"
James E. Talmage,Jesus the Christ,4.63,Book by James E. Talmage,goodbooks,https://www.amazon.in/s?k=Jesus+the+Christ
Don Ferguson,Disney's the Lion King,4.49,Book by Don Ferguson,goodbooks,https://www.amazon.in/s?k=Disney's+the+Lion+King
"Charlotte Brontë, Lucasta Miller, collaborative, Jessica Cox",Shirley,3.71,"Book by Charlotte Brontë, Lucasta Miller, collaborative, Jessica Cox",goodbooks,https://www.amazon.in/s?k=Shirley
Nora Roberts,"Born in Ice (Born In Trilogy, #2)",4.13,Book by Nora Roberts,goodbooks,"https://www.amazon.in/s?k=Born+in+Ice+(Born+In+Trilogy,+#2)"
Tom Robbins,Villa Incognito,3.65,Book by Tom Robbins,goodbooks,https://www.amazon.in/s?k=Villa+Incognito
Paul Beatty,The Sellout,3.8,Book by Paul Beatty,goodbooks,https://www.amazon.in/s?k=The+Sellout
"Bill Willingham, Mark Buckingham, Craig Hamilton, Steve Leialoha, P. Craig Russell","Fables, Vol. 4: March of the Wooden Soldiers",4.29,"Book by Bill Willingham, Mark Buckingham, Craig Hamilton, Steve Leialoha, P. Craig Russell",goodbooks,"https://www.amazon.in/s?k=Fables,+Vol.+4:+March+of+the+Wooden+Soldiers"
"Lee Child, Dick Hill",Night School,3.96,"Book by Lee Child, Dick Hill",goodbooks,https://www.amazon.in/s?k=Night+School
Tess Gerritsen,"The Silent Girl (Rizzoli & Isles, #9)",4.13,Book by Tess Gerritsen,goodbooks,"https://www.amazon.in/s?k=The+Silent+Girl+(Rizzoli+&+Isles,+#9)"
Dr. Seuss,Horton Hatches the Egg,4.14,Book by Dr. Seuss,goodbooks,https://www.amazon.in/s?k=Horton+Hatches+the+Egg
Bella Forrest,"A Shade of Blood (A Shade of Vampire, #2)",4.01,Book by Bella Forrest,goodbooks,"https://www.amazon.in/s?k=A+Shade+of+Blood+(A+Shade+of+Vampire,+#2)"
"Jenna Miscavige Hill, Lisa Pulitzer",Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,3.72,"Book by Jenna Miscavige Hill, Lisa Pulitzer",goodbooks,https://www.amazon.in/s?k=Beyond+Belief:+My+Secret+Life+Inside+Scientology+and+My+Harrowing+Escape
"Plato, James J. Helm",Apology,4.15,"Book by Plato, James J. Helm",goodbooks,https://www.amazon.in/s?k=Apology
"Garth Ennis, Steve Dillon, Penn Jillette","Preacher, Volume 3: Proud Americans",4.27,"Book by Garth Ennis, Steve Dillon, Penn Jillette",goodbooks,"https://www.amazon.in/s?k=Preacher,+Volume+3:+Proud+Americans"
Anne Rice,"The Wolf Gift (The Wolf Gift Chronicles, #1)",3.52,Book by Anne Rice,goodbooks,"https://www.amazon.in/s?k=The+Wolf+Gift+(The+Wolf+Gift+Chronicles,+#1)"
"Diane Muldrow, J.P. Miller",The Little Red Hen (Little Golden Book),4.2,"Book by Diane Muldrow, J.P. Miller",goodbooks,https://www.amazon.in/s?k=The+Little+Red+Hen+(Little+Golden+Book)
Sandra Brown,Lethal,4.04,Book by Sandra Brown,goodbooks,https://www.amazon.in/s?k=Lethal
Dan Simmons,The Terror,4.0,Book by Dan Simmons,goodbooks,https://www.amazon.in/s?k=The+Terror
Ludwig Bemelmans,Madeline's Rescue,4.24,Book by Ludwig Bemelmans,goodbooks,https://www.amazon.in/s?k=Madeline's+Rescue
"John Heilemann, Mark Halperin","Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",4.1,"Book by John Heilemann, Mark Halperin",goodbooks,"https://www.amazon.in/s?k=Game+Change:+Obama+and+the+Clintons,+McCain+and+Palin,+and+the+Race+of+a+Lifetime"
V.C. Andrews,"Garden of Shadows (Dollanganger, #5)",3.88,Book by V.C. Andrews,goodbooks,"https://www.amazon.in/s?k=Garden+of+Shadows+(Dollanganger,+#5)"
Kim Harrison,"A Perfect Blood (The Hollows, #10)",4.38,Book by Kim Harrison,goodbooks,"https://www.amazon.in/s?k=A+Perfect+Blood+(The+Hollows,+#10)"
"Joni Eareckson Tada, Joe Musser",Joni: An Unforgettable Story,4.23,"Book by Joni Eareckson Tada, Joe Musser",goodbooks,https://www.amazon.in/s?k=Joni:+An+Unforgettable+Story
"Margaret Weis, Tracy Hickman","War of the Twins (Dragonlance: Legends, #2)",4.11,"Book by Margaret Weis, Tracy Hickman",goodbooks,"https://www.amazon.in/s?k=War+of+the+Twins+(Dragonlance:+Legends,+#2)"
James Patterson,"Cross Fire (Alex Cross, #17)",4.04,Book by James Patterson,goodbooks,"https://www.amazon.in/s?k=Cross+Fire+(Alex+Cross,+#17)"
Ross King,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,3.84,Book by Ross King,goodbooks,https://www.amazon.in/s?k=Brunelleschi's+Dome:+How+a+Renaissance+Genius+Reinvented+Architecture
Shakti Gawain,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,4.13,Book by Shakti Gawain,goodbooks,https://www.amazon.in/s?k=Creative+Visualization:+Use+the+Power+of+Your+Imagination+to+Create+What+You+Want+in+Your+Life
Janet Evanovich,"Metro Girl (Alex Barnaby, #1)",3.6,Book by Janet Evanovich,goodbooks,"https://www.amazon.in/s?k=Metro+Girl+(Alex+Barnaby,+#1)"
"Colleen Hoover, Tarryn Fisher","Never Never: Part Three (Never Never, #3)",3.48,"Book by Colleen Hoover, Tarryn Fisher",goodbooks,"https://www.amazon.in/s?k=Never+Never:+Part+Three+(Never+Never,+#3)"
Darynda Jones,"Second Grave on the Left (Charley Davidson, #2)",4.29,Book by Darynda Jones,goodbooks,"https://www.amazon.in/s?k=Second+Grave+on+the+Left+(Charley+Davidson,+#2)"
"Anya Seton, Philippa Gregory",Katherine,4.18,"Book by Anya Seton, Philippa Gregory",goodbooks,https://www.amazon.in/s?k=Katherine
Marina Lewycka,A Short History of Tractors in Ukrainian,3.37,Book by Marina Lewycka,goodbooks,https://www.amazon.in/s?k=A+Short+History+of+Tractors+in+Ukrainian
Kimberly McCreight,Where They Found Her,3.83,Book by Kimberly McCreight,goodbooks,https://www.amazon.in/s?k=Where+They+Found+Her
Kelley Armstrong,"Industrial Magic (Women of the Otherworld, #4)",4.12,Book by Kelley Armstrong,goodbooks,"https://www.amazon.in/s?k=Industrial+Magic+(Women+of+the+Otherworld,+#4)"
"René Goscinny, Jean-Jacques Sempé","Le Petit Nicolas (Le petit Nicolas, #1)",4.13,"Book by René Goscinny, Jean-Jacques Sempé",goodbooks,"https://www.amazon.in/s?k=Le+Petit+Nicolas+(Le+petit+Nicolas,+#1)"
A.G. Riddle,"The Atlantis Plague (The Origin Mystery, #2)",3.88,Book by A.G. Riddle,goodbooks,"https://www.amazon.in/s?k=The+Atlantis+Plague+(The+Origin+Mystery,+#2)"
"Harold G. Moore, Joseph L. Galloway",We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,4.29,"Book by Harold G. Moore, Joseph L. Galloway",goodbooks,https://www.amazon.in/s?k=We+Were+Soldiers+Once...+and+Young:+Ia+Drang+-+The+Battle+that+Changed+the+War+in+Vietnam
Ken Follett,Whiteout,3.54,Book by Ken Follett,goodbooks,https://www.amazon.in/s?k=Whiteout
Barbara W. Tuchman,A Distant Mirror:  The Calamitous 14th Century,4.11,Book by Barbara W. Tuchman,goodbooks,https://www.amazon.in/s?k=A+Distant+Mirror:+The+Calamitous+14th+Century
Mike Lupica,Heat,3.97,Book by Mike Lupica,goodbooks,https://www.amazon.in/s?k=Heat
Neil Strauss,The Game: Penetrating the Secret Society of Pickup Artists,3.73,Book by Neil Strauss,goodbooks,https://www.amazon.in/s?k=The+Game:+Penetrating+the+Secret+Society+of+Pickup+Artists
Sue Grafton,"N is for Noose (Kinsey Millhone, #14)",3.97,Book by Sue Grafton,goodbooks,"https://www.amazon.in/s?k=N+is+for+Noose+(Kinsey+Millhone,+#14)"
Julia Quinn,Just Like Heaven (Smythe-Smith Quartet #1),3.93,Book by Julia Quinn,goodbooks,https://www.amazon.in/s?k=Just+Like+Heaven+(Smythe-Smith+Quartet+#1)
"Rick Riordan, Tk","Percy Jackson and the Olympians Boxed Set (Percy Jackson and the Olympians, #1-5)",4.57,"Book by Rick Riordan, Tk",goodbooks,"https://www.amazon.in/s?k=Percy+Jackson+and+the+Olympians+Boxed+Set+(Percy+Jackson+and+the+Olympians,+#1-5)"
Lisa Gardner,"Catch Me (Detective D.D. Warren, #6)",4.17,Book by Lisa Gardner,goodbooks,"https://www.amazon.in/s?k=Catch+Me+(Detective+D.D.+Warren,+#6)"
Debbie Macomber,"The Shop on Blossom Street (Blossom Street, #1)",4.04,Book by Debbie Macomber,goodbooks,"https://www.amazon.in/s?k=The+Shop+on+Blossom+Street+(Blossom+Street,+#1)"
R.A. Salvatore,"Starless Night (Forgotten Realms: Legacy of the Drow, #2; Legend of Drizzt, #8)",4.12,Book by R.A. Salvatore,goodbooks,"https://www.amazon.in/s?k=Starless+Night+(Forgotten+Realms:+Legacy+of+the+Drow,+#2;+Legend+of+Drizzt,+#8)"
Nelson DeMille,"Night Fall (John Corey, #3)",4.07,Book by Nelson DeMille,goodbooks,"https://www.amazon.in/s?k=Night+Fall+(John+Corey,+#3)"
Darren Shan,"Trials of Death (Cirque Du Freak, #5)",4.25,Book by Darren Shan,goodbooks,"https://www.amazon.in/s?k=Trials+of+Death+(Cirque+Du+Freak,+#5)"
"Eric Van Lustbader, Robert Ludlum","The Bourne Objective (Jason Bourne, #8)",4.07,"Book by Eric Van Lustbader, Robert Ludlum",goodbooks,"https://www.amazon.in/s?k=The+Bourne+Objective+(Jason+Bourne,+#8)"
Elle Kennedy,"The Score (Off-Campus, #3)",4.27,Book by Elle Kennedy,goodbooks,"https://www.amazon.in/s?k=The+Score+(Off-Campus,+#3)"
Karen Kingsbury,"Even Now (Lost Love, #1)",4.26,Book by Karen Kingsbury,goodbooks,"https://www.amazon.in/s?k=Even+Now+(Lost+Love,+#1)"
Anita Shreve,Testimony,3.54,Book by Anita Shreve,goodbooks,https://www.amazon.in/s?k=Testimony
Ilona Andrews,"Magic Rises (Kate Daniels, #6)",4.49,Book by Ilona Andrews,goodbooks,"https://www.amazon.in/s?k=Magic+Rises+(Kate+Daniels,+#6)"
Ben Aaronovitch,"Whispers Under Ground (Peter Grant, #3)",4.16,Book by Ben Aaronovitch,goodbooks,"https://www.amazon.in/s?k=Whispers+Under+Ground+(Peter+Grant,+#3)"
"James Patterson, Maxine Paetro","Unlucky 13 (Women’s Murder Club, #13)",3.94,"Book by James Patterson, Maxine Paetro",goodbooks,"https://www.amazon.in/s?k=Unlucky+13+(Women’s+Murder+Club,+#13)"
Sidney Sheldon,The Best Laid Plans,3.66,Book by Sidney Sheldon,goodbooks,https://www.amazon.in/s?k=The+Best+Laid+Plans
Terry Pratchett,Nation,4.05,Book by Terry Pratchett,goodbooks,https://www.amazon.in/s?k=Nation
Lisa Kleypas,"Secrets of a Summer Night (Wallflowers, #1)",4.05,Book by Lisa Kleypas,goodbooks,"https://www.amazon.in/s?k=Secrets+of+a+Summer+Night+(Wallflowers,+#1)"
Ted Dekker,"Red: The Heroic Rescue (The Circle, #2)",4.3,Book by Ted Dekker,goodbooks,"https://www.amazon.in/s?k=Red:+The+Heroic+Rescue+(The+Circle,+#2)"
Louise Penny,"A Trick of the Light (Chief Inspector Armand Gamache, #7)",4.29,Book by Louise Penny,goodbooks,"https://www.amazon.in/s?k=A+Trick+of+the+Light+(Chief+Inspector+Armand+Gamache,+#7)"
Jennifer L. Armentrout,"White Hot Kiss (The Dark Elements, #1)",4.28,Book by Jennifer L. Armentrout,goodbooks,"https://www.amazon.in/s?k=White+Hot+Kiss+(The+Dark+Elements,+#1)"
"Jun Mochizuki, 望月淳",Pandora Hearts 1巻,4.2,"Book by Jun Mochizuki, 望月淳",goodbooks,https://www.amazon.in/s?k=Pandora+Hearts+1巻
H.P. Lovecraft,At the Mountains of Madness and Other Tales of Terror,4.25,Book by H.P. Lovecraft,goodbooks,https://www.amazon.in/s?k=At+the+Mountains+of+Madness+and+Other+Tales+of+Terror
Mary Karr,Lit,3.88,Book by Mary Karr,goodbooks,https://www.amazon.in/s?k=Lit
Anne McCaffrey,"Dragonsdawn (Pern, #9)",4.17,Book by Anne McCaffrey,goodbooks,"https://www.amazon.in/s?k=Dragonsdawn+(Pern,+#9)"
Kathryn Erskine,Mockingbird,4.18,Book by Kathryn Erskine,goodbooks,https://www.amazon.in/s?k=Mockingbird
أحمد حلمي,28 حرف,3.1,Book by أحمد حلمي,goodbooks,https://www.amazon.in/s?k=28+حرف
Joshua Harris,I Kissed Dating Goodbye,3.61,Book by Joshua Harris,goodbooks,https://www.amazon.in/s?k=I+Kissed+Dating+Goodbye
Zilpha Keatley Snyder,"The Egypt Game (Game, #1)",3.81,Book by Zilpha Keatley Snyder,goodbooks,"https://www.amazon.in/s?k=The+Egypt+Game+(Game,+#1)"
Kaye Gibbons,Ellen Foster,3.75,Book by Kaye Gibbons,goodbooks,https://www.amazon.in/s?k=Ellen+Foster
"Franz Kafka, Nahum N. Glatzer, John Updike, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins",The Complete Stories,4.34,"Book by Franz Kafka, Nahum N. Glatzer, John Updike, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins",goodbooks,https://www.amazon.in/s?k=The+Complete+Stories
"Isa Chandra Moskowitz, Terry Hope Romero",Veganomicon: The Ultimate Vegan Cookbook,3.98,"Book by Isa Chandra Moskowitz, Terry Hope Romero",goodbooks,https://www.amazon.in/s?k=Veganomicon:+The+Ultimate+Vegan+Cookbook
"Margaret Weis, Tracy Hickman","Test of the Twins (Dragonlance: Legends, #3)",4.16,"Book by Margaret Weis, Tracy Hickman",goodbooks,"https://www.amazon.in/s?k=Test+of+the+Twins+(Dragonlance:+Legends,+#3)"
Flannery O'Connor,Wise Blood,3.88,Book by Flannery O'Connor,goodbooks,https://www.amazon.in/s?k=Wise+Blood
Sabahattin Ali,Kürk Mantolu Madonna,4.49,Book by Sabahattin Ali,goodbooks,https://www.amazon.in/s?k=Kürk+Mantolu+Madonna
Terry Brooks,"Running with the Demon (Word & Void, #1)",3.95,Book by Terry Brooks,goodbooks,"https://www.amazon.in/s?k=Running+with+the+Demon+(Word+&+Void,+#1)"
Charles M. Sheldon,In His Steps,4.15,Book by Charles M. Sheldon,goodbooks,https://www.amazon.in/s?k=In+His+Steps
Kresley Cole,Lothaire (Immortals After Dark #12),4.43,Book by Kresley Cole,goodbooks,https://www.amazon.in/s?k=Lothaire+(Immortals+After+Dark+#12)
Mo Willems,"Knuffle Bunny Too: A Case of Mistaken Identity (Knuffle Bunny, #2)",4.28,Book by Mo Willems,goodbooks,"https://www.amazon.in/s?k=Knuffle+Bunny+Too:+A+Case+of+Mistaken+Identity+(Knuffle+Bunny,+#2)"
David Baldacci,"The Whole Truth (A. Shaw, #1)",4.0,Book by David Baldacci,goodbooks,"https://www.amazon.in/s?k=The+Whole+Truth+(A.+Shaw,+#1)"
"Elissa Wall, Lisa Pulitzer","Stolen Innocence: My Story of Growing Up in a Polygamous Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs",3.89,"Book by Elissa Wall, Lisa Pulitzer",goodbooks,"https://www.amazon.in/s?k=Stolen+Innocence:+My+Story+of+Growing+Up+in+a+Polygamous+Sect,+Becoming+a+Teenage+Bride,+and+Breaking+Free+of+Warren+Jeffs"
Ruta Sepetys,Out of the Easy,4.05,Book by Ruta Sepetys,goodbooks,https://www.amazon.in/s?k=Out+of+the+Easy
"Ed Brubaker, Doug Mahnke, Patrick Zircher, Aaron Sowd, Steve Bird",Batman: The Man Who Laughs,4.09,"Book by Ed Brubaker, Doug Mahnke, Patrick Zircher, Aaron Sowd, Steve Bird",goodbooks,https://www.amazon.in/s?k=Batman:+The+Man+Who+Laughs
Erin Hunter,"Midnight (Warriors: The New Prophecy, #1)",4.26,Book by Erin Hunter,goodbooks,"https://www.amazon.in/s?k=Midnight+(Warriors:+The+New+Prophecy,+#1)"
Ben Horowitz,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,4.2,Book by Ben Horowitz,goodbooks,https://www.amazon.in/s?k=The+Hard+Thing+About+Hard+Things:+Building+a+Business+When+There+Are+No+Easy+Answers
Jessica Sorensen,"The Fallen Star (Fallen Star, #1)",3.91,Book by Jessica Sorensen,goodbooks,"https://www.amazon.in/s?k=The+Fallen+Star+(Fallen+Star,+#1)"
Stephen R. Donaldson,"The Illearth War (The Chronicles of Thomas Covenant the Unbeliever, #2)",3.99,Book by Stephen R. Donaldson,goodbooks,"https://www.amazon.in/s?k=The+Illearth+War+(The+Chronicles+of+Thomas+Covenant+the+Unbeliever,+#2)"
Russell Brand,My Booky Wook,3.42,Book by Russell Brand,goodbooks,https://www.amazon.in/s?k=My+Booky+Wook
Nora Roberts,"Shadow Spell (The Cousins O'Dwyer Trilogy, #2)",4.0,Book by Nora Roberts,goodbooks,"https://www.amazon.in/s?k=Shadow+Spell+(The+Cousins+O'Dwyer+Trilogy,+#2)"
Simon Garfield,Just My Type: A Book About Fonts,3.79,Book by Simon Garfield,goodbooks,https://www.amazon.in/s?k=Just+My+Type:+A+Book+About+Fonts
J.D. Robb,"Promises in Death (In Death, #28)",4.4,Book by J.D. Robb,goodbooks,"https://www.amazon.in/s?k=Promises+in+Death+(In+Death,+#28)"
Charles Bukowski,Love Is a Dog from Hell,4.16,Book by Charles Bukowski,goodbooks,https://www.amazon.in/s?k=Love+Is+a+Dog+from+Hell
N.K. Jemisin,"The Fifth Season (The Broken Earth, #1)",4.31,Book by N.K. Jemisin,goodbooks,"https://www.amazon.in/s?k=The+Fifth+Season+(The+Broken+Earth,+#1)"
R.D. Ronald,The Zombie Room,3.61,Book by R.D. Ronald,goodbooks,https://www.amazon.in/s?k=The+Zombie+Room
John Katzenbach,The Analyst,4.12,Book by John Katzenbach,goodbooks,https://www.amazon.in/s?k=The+Analyst
Jasper Fforde,Shades of Grey,4.14,Book by Jasper Fforde,goodbooks,https://www.amazon.in/s?k=Shades+of+Grey
S.E. Hinton,"That Was Then, This Is Now",3.89,Book by S.E. Hinton,goodbooks,"https://www.amazon.in/s?k=That+Was+Then,+This+Is+Now"
"Trenton Lee Stewart, Del Roy","The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)",4.28,"Book by Trenton Lee Stewart, Del Roy",goodbooks,"https://www.amazon.in/s?k=The+Mysterious+Benedict+Society+and+the+Prisoner's+Dilemma+(The+Mysterious+Benedict+Society,+#3)"
Kevin    Wilson,The Family Fang,3.6,Book by Kevin    Wilson,goodbooks,https://www.amazon.in/s?k=The+Family+Fang
Chris Gardner,The Pursuit of Happyness,4.17,Book by Chris Gardner,goodbooks,https://www.amazon.in/s?k=The+Pursuit+of+Happyness
Karl Ove Knausgård,Min kamp 1 (Min kamp #1),4.08,Book by Karl Ove Knausgård,goodbooks,https://www.amazon.in/s?k=Min+kamp+1+(Min+kamp+#1)
Alan Bradley,"A Red Herring Without Mustard (Flavia de Luce, #3)",4.07,Book by Alan Bradley,goodbooks,"https://www.amazon.in/s?k=A+Red+Herring+Without+Mustard+(Flavia+de+Luce,+#3)"
Doris Kearns Goodwin,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,4.2,Book by Doris Kearns Goodwin,goodbooks,https://www.amazon.in/s?k=No+Ordinary+Time:+Franklin+and+Eleanor+Roosevelt:+The+Home+Front+in+World+War+II
Richard Russo,Straight Man,4.02,Book by Richard Russo,goodbooks,https://www.amazon.in/s?k=Straight+Man
Walker Percy,The Moviegoer,3.7,Book by Walker Percy,goodbooks,https://www.amazon.in/s?k=The+Moviegoer
"Anton Chekhov, Tom    Murphy",The Cherry Orchard,3.68,"Book by Anton Chekhov, Tom    Murphy",goodbooks,https://www.amazon.in/s?k=The+Cherry+Orchard
Wendy Mass,"11 Birthdays (Willow Falls, #1)",4.18,Book by Wendy Mass,goodbooks,"https://www.amazon.in/s?k=11+Birthdays+(Willow+Falls,+#1)"
"J.R.R. Tolkien, Christopher Tolkien",Unfinished Tales of Númenor and Middle-Earth,3.93,"Book by J.R.R. Tolkien, Christopher Tolkien",goodbooks,https://www.amazon.in/s?k=Unfinished+Tales+of+Númenor+and+Middle-Earth
Ann Brashares,"Sisterhood Everlasting (Sisterhood, #5)",3.9,Book by Ann Brashares,goodbooks,"https://www.amazon.in/s?k=Sisterhood+Everlasting+(Sisterhood,+#5)"
Grant Naylor,Infinity Welcomes Careful Drivers (Red Dwarf #1),4.03,Book by Grant Naylor,goodbooks,https://www.amazon.in/s?k=Infinity+Welcomes+Careful+Drivers+(Red+Dwarf+#1)
Christopher Moore,Coyote Blue,3.75,Book by Christopher Moore,goodbooks,https://www.amazon.in/s?k=Coyote+Blue
"أحلام مستغانمي, Ahlam Mosteghanemi",فوضى الحواس,3.83,"Book by أحلام مستغانمي, Ahlam Mosteghanemi",goodbooks,https://www.amazon.in/s?k=فوضى+الحواس
G.K. Chesterton,Orthodoxy,4.23,Book by G.K. Chesterton,goodbooks,https://www.amazon.in/s?k=Orthodoxy
"Jane O'Connor, Robin Preiss Glasser",Fancy Nancy,4.15,"Book by Jane O'Connor, Robin Preiss Glasser",goodbooks,https://www.amazon.in/s?k=Fancy+Nancy
Graham Greene,The Heart of the Matter,3.98,Book by Graham Greene,goodbooks,https://www.amazon.in/s?k=The+Heart+of+the+Matter
Jeff Kinney,"The Long Haul (Diary of a Wimpy Kid, #9)",4.33,Book by Jeff Kinney,goodbooks,"https://www.amazon.in/s?k=The+Long+Haul+(Diary+of+a+Wimpy+Kid,+#9)"
"Patricia C. Wrede, Peter de Sève","Talking to Dragons (Enchanted Forest Chronicles, #4)",4.19,"Book by Patricia C. Wrede, Peter de Sève",goodbooks,"https://www.amazon.in/s?k=Talking+to+Dragons+(Enchanted+Forest+Chronicles,+#4)"
"James Patterson, Howard Roughan",Sail,3.8,"Book by James Patterson, Howard Roughan",goodbooks,https://www.amazon.in/s?k=Sail
"Neil Gaiman, Chris Riddell",The Sleeper and the Spindle,3.9,"Book by Neil Gaiman, Chris Riddell",goodbooks,https://www.amazon.in/s?k=The+Sleeper+and+the+Spindle
Susan Meissner,A Fall of Marigolds,4.04,Book by Susan Meissner,goodbooks,https://www.amazon.in/s?k=A+Fall+of+Marigolds
"A.N. Roquelaure, Anne Rice","Beauty's Punishment (Sleeping Beauty, #2)",3.62,"Book by A.N. Roquelaure, Anne Rice",goodbooks,"https://www.amazon.in/s?k=Beauty's+Punishment+(Sleeping+Beauty,+#2)"
Dee Henderson,"The Negotiator (O'Malley, #1)",4.32,Book by Dee Henderson,goodbooks,"https://www.amazon.in/s?k=The+Negotiator+(O'Malley,+#1)"
Ravinder Singh,Can Love Happen Twice?,3.31,Book by Ravinder Singh,goodbooks,https://www.amazon.in/s?k=Can+Love+Happen+Twice?
"Gregory Maguire, Douglas Smith","A Lion Among Men (The Wicked Years, #3)",3.29,"Book by Gregory Maguire, Douglas Smith",goodbooks,"https://www.amazon.in/s?k=A+Lion+Among+Men+(The+Wicked+Years,+#3)"
Raymond E. Feist,"Shadow of a Dark Queen (The Serpentwar Saga, #1)",4.02,Book by Raymond E. Feist,goodbooks,"https://www.amazon.in/s?k=Shadow+of+a+Dark+Queen+(The+Serpentwar+Saga,+#1)"
Tobias Wolff,This Boy's Life,3.98,Book by Tobias Wolff,goodbooks,https://www.amazon.in/s?k=This+Boy's+Life
Jonathan Maberry,"Patient Zero (Joe Ledger, #1)",3.98,Book by Jonathan Maberry,goodbooks,"https://www.amazon.in/s?k=Patient+Zero+(Joe+Ledger,+#1)"
Willa Cather,Death Comes for the Archbishop,3.88,Book by Willa Cather,goodbooks,https://www.amazon.in/s?k=Death+Comes+for+the+Archbishop
Patricia Briggs,"Fair Game (Alpha & Omega, #3)",4.34,Book by Patricia Briggs,goodbooks,"https://www.amazon.in/s?k=Fair+Game+(Alpha+&+Omega,+#3)"
Rick Riordan,"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)",4.26,Book by Rick Riordan,goodbooks,"https://www.amazon.in/s?k=The+Son+of+Sobek+(Percy+Jackson+&+Kane+Chronicles+Crossover,+#1)"
"Molière, Martin Sorrell",Tartuffe,3.66,"Book by Molière, Martin Sorrell",goodbooks,https://www.amazon.in/s?k=Tartuffe
Larissa Ione,Passion Unleashed (Demonica #3),4.32,Book by Larissa Ione,goodbooks,https://www.amazon.in/s?k=Passion+Unleashed+(Demonica+#3)
Kazune Kawahara,"High School Debut, Vol. 01 (High School Debut, #1)",4.11,Book by Kazune Kawahara,goodbooks,"https://www.amazon.in/s?k=High+School+Debut,+Vol.+01+(High+School+Debut,+#1)"
أثير عبدالله النشمي,في ديسمبر تنتهي كل الأحلام,3.33,Book by أثير عبدالله النشمي,goodbooks,https://www.amazon.in/s?k=في+ديسمبر+تنتهي+كل+الأحلام
Mercer Mayer,Just for You (Little Critter),4.25,Book by Mercer Mayer,goodbooks,https://www.amazon.in/s?k=Just+for+You+(Little+Critter)
James Rollins,Amazonia,4.11,Book by James Rollins,goodbooks,https://www.amazon.in/s?k=Amazonia
David D. Burns,Feeling Good: The New Mood Therapy,3.95,Book by David D. Burns,goodbooks,https://www.amazon.in/s?k=Feeling+Good:+The+New+Mood+Therapy
Nora Roberts,Blue Smoke,3.97,Book by Nora Roberts,goodbooks,https://www.amazon.in/s?k=Blue+Smoke
Patricia Cornwell,"Predator (Kay Scarpetta, #14)",3.67,Book by Patricia Cornwell,goodbooks,"https://www.amazon.in/s?k=Predator+(Kay+Scarpetta,+#14)"
Melody Beattie,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,4.13,Book by Melody Beattie,goodbooks,https://www.amazon.in/s?k=Codependent+No+More:+How+to+Stop+Controlling+Others+and+Start+Caring+for+Yourself
"Ivan Goncharov, Stephen Pearl, Galya Diment",Oblomov,4.0,"Book by Ivan Goncharov, Stephen Pearl, Galya Diment",goodbooks,https://www.amazon.in/s?k=Oblomov
Clive Cussler,"Inca Gold (Dirk Pitt, #12)",3.96,Book by Clive Cussler,goodbooks,"https://www.amazon.in/s?k=Inca+Gold+(Dirk+Pitt,+#12)"
Ruth Reichl,Delicious!,3.75,Book by Ruth Reichl,goodbooks,https://www.amazon.in/s?k=Delicious!
"Po Bronson, Ashley Merryman",NurtureShock: New Thinking About Children,4.04,"Book by Po Bronson, Ashley Merryman",goodbooks,https://www.amazon.in/s?k=NurtureShock:+New+Thinking+About+Children
Nelson DeMille,"Wild Fire (John Corey, #4)",3.99,Book by Nelson DeMille,goodbooks,"https://www.amazon.in/s?k=Wild+Fire+(John+Corey,+#4)"
Mary Higgins Clark,Two Little Girls in Blue,3.85,Book by Mary Higgins Clark,goodbooks,https://www.amazon.in/s?k=Two+Little+Girls+in+Blue
